,f,$(En)diff_{ab}$,$Fi_b$,$(En)diff_{cb}$,LUMO_character,LUMO_element,$Ce_a$,$R_b$,$D_b$,$Dp_b$,$Dp_a$,$o$,$(En)diff_{ca}$,0
102,0,0.01,658.8,1.9,3,25,2.92,0.67,4.54,100.0,68.0,0.4785714285714286,1.89,0
103,0,0.3299999999999998,760.4,1.56,3,27,2.92,0.61,8.86,55.0,68.0,0.4357142857142857,1.89,0
104,-10,0.2299999999999999,558.3,1.66,3,25,2.92,0.8,7.31,65.0,68.0,0.5714285714285715,1.89,0
105,2,0.5899999999999999,603.4,1.48,2,16,1.16,0.87,6.97,139.0,46.0,0.4728260869565217,0.8900000000000001,0
106,2,0.06,596.7,1.2999999999999998,2,34,1.51,0.88,9.32,144.0,71.2,0.4444444444444445,1.2399999999999998,1
107,-1,0.03,652.9,0.9200000000000002,3,24,1.16,0.62,7.15,83.0,46.0,0.3369565217391304,0.8900000000000001,0
108,-10,0.0999999999999998,558.3,0.8,2,16,4.39,0.8,7.31,65.0,55.0,0.4347826086956521,0.7000000000000002,0
109,0,0.3199999999999998,650.9,1.81,3,23,1.51,0.64,6.11,87.0,71.2,0.4571428571428572,2.13,0
110,-1,0.7299999999999998,719.7,1.16,3,45,2.92,0.67,12.4,66.0,68.0,0.4785714285714286,1.89,0
111,-10,0.2299999999999999,558.3,0.8,2,16,2.92,0.8,7.31,65.0,68.0,0.4347826086956521,1.03,0
112,0,0.0799999999999998,762.5,1.61,3,26,4.44,0.65,7.87,62.0,49.0,0.4642857142857143,1.53,0
113,-8,0.3700000000000001,703.0,1.42,1,30,1.35,1.03,9.81,48.0,38.67,0.7357142857142858,1.79,0
114,1,0.02,600.0,2.22,4,63,1.86,0.9,4.47,162.0,184.0,0.6428571428571429,2.24,0
115,0,0.0999999999999998,717.3,0.9999999999999998,2,34,1.35,0.65,7.44,68.0,38.67,0.3282828282828283,0.8999999999999999,0
116,2,0.5899999999999999,603.4,1.4499999999999995,2,34,1.16,0.87,6.97,139.0,46.0,0.4393939393939394,0.8599999999999999,0
117,2,0.08,581.0,1.35,2,16,1.51,0.9,8.8,156.0,71.2,0.4891304347826087,1.27,1
118,2,0.1100000000000001,565.8,1.38,4,65,1.51,0.92,8.23,170.0,71.2,0.5,1.27,1
119,2,0.4399999999999999,596.7,1.33,2,16,1.16,0.88,9.32,144.0,46.0,0.4782608695652173,0.8900000000000001,1
120,-1,0.0699999999999998,762.5,1.61,3,26,3.49,0.65,7.87,62.0,46.5,0.4642857142857143,1.54,0
121,0,0.2099999999999999,867.8,1.75,2,8,4.63,0.95,8.69,46.0,37.3,0.6785714285714286,1.54,1
122,-1,0.5700000000000001,717.3,1.03,2,16,1.63,0.5900000000000001,7.44,68.0,164.1125,0.3206521739130435,1.6,0
123,1,0.4199999999999999,523.5,1.2799999999999998,1,48,1.16,0.86,9.84,137.0,46.0,0.4343434343434343,0.8599999999999999,1
124,0,0.02,650.9,1.81,3,23,1.35,0.64,6.11,87.0,38.67,0.4571428571428572,1.79,0
125,1,0.4299999999999999,600.0,1.36,1,30,1.35,0.9,4.47,162.0,38.67,0.4891304347826087,0.9300000000000002,1
126,0,0.1800000000000001,762.5,1.61,3,26,1.35,0.65,7.87,62.0,38.67,0.4642857142857143,1.79,1
127,0,0.0699999999999998,762.5,0.75,2,16,4.63,0.78,7.87,62.0,37.3,0.4239130434782608,0.6800000000000002,0
128,-1,0.8500000000000001,762.5,0.75,2,16,1.63,0.62,7.87,62.0,164.1125,0.3369565217391304,1.6,0
129,2,0.1699999999999999,544.5,2.27,4,62,1.84,0.96,7.52,192.0,160.8,0.6857142857142857,2.44,0
130,-2,0.7299999999999999,652.9,0.9200000000000002,3,24,1.113,0.585,7.15,83.0,162.7,0.3179347826086956,1.65,0
131,2,0.2199999999999999,544.5,2.27,4,62,1.72,0.96,7.52,192.0,197.2,0.6857142857142857,2.49,1
132,0,0.06,577.5,0.97,2,16,2.92,0.54,2.7,57.8,68.0,0.2934782608695652,1.03,1
133,0,0.2999999999999998,577.5,1.83,2,8,4.44,0.54,2.7,57.8,49.0,0.3857142857142858,1.53,0
134,1,0.28,523.5,1.2799999999999998,2,34,2.92,0.86,9.84,137.0,68.0,0.4343434343434343,0.9999999999999998,1
135,0,0.26,737.1,0.6700000000000002,2,16,1.35,0.6,8.91,49.0,38.67,0.3260869565217391,0.9300000000000002,0
136,1,0.4100000000000001,633.1,2.08,1,21,1.72,0.75,2.99,97.0,197.2,0.5357142857142857,2.49,0
137,-10,0.05,558.3,0.8,2,16,4.28,0.8,7.31,65.0,62.0,0.4347826086956521,0.75,0
138,-2,0.6799999999999999,652.9,0.9200000000000002,3,24,1.63,0.585,7.15,83.0,164.1125,0.3179347826086956,1.6,0
139,0,0.0199999999999997,650.9,1.81,3,23,3.39,0.7150000000000001,6.11,87.0,57.8,0.5107142857142858,1.83,0
140,1,0.21,538.1,2.34,3,57,1.9,1.03,6.15,215.0,272.0,0.7357142857142858,2.55,0
141,-1,0.6299999999999999,719.7,1.16,3,45,1.35,0.67,12.4,66.0,38.67,0.4785714285714286,1.79,0
142,-1,0.4499999999999997,719.7,0.3000000000000002,3,45,4.28,0.67,12.4,66.0,62.0,0.3641304347826087,0.75,0
143,-1,0.62,717.3,1.89,3,25,1.113,0.5900000000000001,7.44,68.0,162.7,0.4214285714285715,2.51,0
144,0,0.03,760.4,0.7000000000000002,2,16,4.44,0.61,8.86,55.0,49.0,0.3315217391304347,0.6700000000000002,0
145,-1,0.3699999999999999,719.7,1.16,3,45,4.44,0.67,12.4,66.0,49.0,0.4785714285714286,1.53,0
146,0,0.1899999999999999,760.4,1.56,3,27,1.16,0.61,8.86,55.0,46.0,0.4357142857142857,1.75,1
147,-1,0.1700000000000001,652.9,0.9200000000000002,1,24,4.28,0.62,7.15,83.0,62.0,0.3369565217391304,0.75,0
148,0,0.91,737.1,1.53,2,8,1.84,0.6,8.91,49.0,160.8,0.4285714285714286,2.44,0
149,0,0.5,578.8,0.77,2,16,1.51,0.62,5.91,50.0,71.2,0.3369565217391304,1.27,0
150,-1,0.56,658.8,1.04,3,22,1.63,0.64,4.54,100.0,164.1125,0.3478260869565217,1.6,0
