,Material,Chemical_formula,Band_gap_HSE,Direct_or_indirect_HSE,Band_gap_GGA,Space_group_cif,Free_energy
10909,P2S7,P2S7,2.785556,Indirect,1.838648,2.0,-4.5312392238889
10910,P2Sc3,Sc3P2,0.0,Indirect,0.0,62.0,-7.1661709615
10911,P2V1,VP2,0.0,Indirect,0.0,12.0,-7.1871561766667
10912,Pb1Pt1,PbPt,0.0,Indirect,0.0,194.0,-5.0824167625
10913,Pb1Pt3,PbPt3,0.0,Indirect,0.0,221.0,-5.561805485
10914,Pb1Te1,PbTe,1.184939,Indirect,0.753943,62.0,-3.70863693125
10915,Pb4Y5,Pb4Y5,0.0,Indirect,0.0,62.0,-5.7034945813889
10916,Pb5Sc6,Sc6Pb5,0.0,Indirect,0.0,72.0,-5.4451548818182
10917,Pd1Si1,PdSi,0.0,Indirect,0.0,62.0,-5.8524079075
10918,Pd1Sn2,PdSn2,0.0,Indirect,0.0,142.0,-4.6832355483333
10919,Pd1Sn3,PdSn3,0.0,Indirect,0.0,64.0,-4.477716388125
10920,Pd1Sn4,PdSn4,0.0,Indirect,0.0,41.0,-4.350211195
10921,Pd1Sr1,PdSr,0.0,Indirect,0.0,63.0,-4.0212929575
10922,Pd1Ti1,PdTi,0.0,Indirect,0.0,221.0,-6.942055635
10923,Pd1Y3,Y3Pd,0.0,Indirect,0.0,62.0,-6.5976493875
10924,Pd1Zn1,PdZn,0.0,Indirect,0.0,123.0,-3.7203709625
10925,Pd1Zr1,ZrPd,0.0,Indirect,0.0,221.0,-7.4552054
10926,Pd2Si1,Pd2Si,0.0,Indirect,0.0,189.0,-5.9726119855556
10927,Pd2Sr1,Pd2Sr,0.0,Indirect,0.0,227.0,-4.6584214416667
10928,Pd2Zr1,Pd2Zr,0.0,Indirect,0.0,139.0,-7.0809037433333
10929,Pd3Ti1,Pd3Ti,0.0,Indirect,0.0,221.0,-6.47311401
10930,Pd3Ti1,Pd3Ti,0.0,Indirect,0.0,194.0,-6.488216490625
10931,Pd3Ti2,Pd3Ti2,0.0,Indirect,0.0,63.0,-6.825662008
10932,Pd3V1,Pd3V,0.0,Indirect,0.0,123.0,-6.379664475
10933,Pd4Y3,Y3Pd4,0.0,Indirect,0.0,148.0,-6.6645220392857
10934,Pt11Zr9,Pt11Zr9,0.0,Indirect,0.0,87.0,-8.211520157
10935,Pt1V1,PtV,0.0,Indirect,0.0,51.0,-8.0738681175
10936,Pt1V3,PtV3,0.0,Indirect,0.0,221.0,-8.469237935
10937,Pt1Y1,PtY,0.0,Indirect,0.0,62.0,-7.52639606125
10938,Pt1Zn1,PtZn,0.0,Indirect,0.0,123.0,-4.1588585175
10939,Pt2W1,WPt2,0.0,Indirect,0.0,71.0,-8.7410575833333
10940,Pt1Zr1,PtZr,0.0,Indirect,0.0,63.0,-8.4130462625
10941,Pt2Si1,Pt2Si,0.0,Indirect,0.0,189.0,-6.4869114955556
10942,Pt2Ta1,Pt2Ta,0.0,Indirect,0.0,63.0,-8.783819885
10943,Pt3Si1,Pt3Si,0.0,Indirect,0.0,62.0,-6.436175928125
10944,Pt3Ta1,Pt3Ta,0.0,Indirect,0.0,59.0,-8.25906529625
10945,Pt3V1,Pt3V,0.0,Indirect,0.0,221.0,-7.256619815
10946,Pt3Zn1,Pt3Zn,0.0,Indirect,0.0,221.0,-5.159735065
10947,Pt5Ti3,Pt5Ti3,0.0,Indirect,0.0,72.0,-7.656651510625
10948,Rb1Zn13,RbZn13,0.0,Indirect,0.0,226.0,-1.1461994735714
10949,Re2W1,Re2W,0.0,Indirect,0.0,194.0,-12.411500468333
10950,Rh1Si1,RhSi,0.0,Indirect,0.0,221.0,-6.86947817
10951,Rh1Si1,RhSi,0.0,Indirect,0.0,14.0,-7.14558569875
10952,Rh1Sn4,RhSn4,0.0,Indirect,0.0,142.0,-4.7838755605
10953,Rh1Ti1,RhTi,0.0,Indirect,0.0,221.0,-8.218740595
10954,Rh1Zn13,RhZn13,0.0,Indirect,0.0,12.0,-1.6750379864286
10955,Rh1Zr1,RhZr,0.0,Indirect,0.0,221.0,-8.629777485
10956,Rh1Zr1,ZrRh,0.0,Indirect,0.0,63.0,-8.70211228625
10957,Rh1Zr3,Zr3Rh,0.0,Indirect,0.0,82.0,-8.62397200875
10958,Rh5Ti3,Rh5Ti3,0.0,Indirect,0.0,55.0,-8.226988145625
10959,Ru1V1,RuV,0.0,Indirect,0.0,221.0,-9.312660305
10960,Ru1Zr1,RuZr,0.0,Indirect,0.0,221.0,-9.522370995
10961,Ru2Si1,Ru2Si,0.0,Indirect,0.0,62.0,-8.3486993383333
10962,Ru2Y5,Y5Ru2,0.0,Indirect,0.0,15.0,-7.5472167321429
10963,S1Sc1,ScS,0.0,Indirect,0.0,225.0,-7.05467274
10964,S1V1,VS,2.60235,Indirect,1.947683,194.0,-6.44149358625
10965,S1Zn1,ZnS,3.461562,Direct,2.707886,156.0,-3.2045436971429
10966,S1Zn1,ZnS,3.550781,Direct,2.78099,186.0,-3.2018766075
10967,S1Zn1,ZnS,3.498734,Direct,2.744401,186.0,-3.20938108625
10968,S3Sc2,Sc2S3,2.399295,Indirect,1.413891,33.0,-6.7954372525
10969,S4V3,V3S4,0.952686,Direct,0.556777,12.0,-6.1151040928571
10970,Sb1Ta3,Ta3Sb,0.0,Indirect,0.0,223.0,-10.0301907275
10971,Sb1Ti1,TiSb,0.0,Indirect,0.0,194.0,-6.41248396
10972,Sb1V3,V3Sb,0.0,Indirect,0.0,223.0,-7.953175215
10973,Sb2Zr1,ZrSb2,0.0,Indirect,0.0,58.0,-6.1566815225
10974,Sc1Si1,ScSi,0.0,Indirect,0.0,63.0,-6.66266541
10975,Sc1Si2,ScSi2,0.0,Indirect,0.0,191.0,-6.0545591166667
10976,Se1Sn1,SnSe,0.565825,Indirect,0.197486,63.0,-4.0949721975
10977,Si1Sr1,SrSi,0.0,Indirect,0.0,63.0,-3.9989061
10978,Si1Ta2,Ta2Si,0.0,Indirect,0.0,140.0,-10.259837095
10979,Si1Tc1,TcSi,0.0,Indirect,0.0,198.0,-8.39223057
10980,Si1W3,W3Si,0.0,Indirect,0.0,223.0,-9.7629211375
10981,Si1Zr3,Zr3Si,0.0,Indirect,0.0,86.0,-8.3161327021875
10982,Si2Sr1,SrSi2,0.0,Indirect,0.0,212.0,-4.5139040408333
10983,Si2Ta1,TaSi2,0.0,Indirect,0.0,181.0,-8.0386417488889
10984,Si2Ti1,TiSi2,0.0,Indirect,0.0,69.0,-6.55477883
10985,Si2W1,WSi2,0.461164,Indirect,0.046299,180.0,-8.2234259255556
10986,Si2W3,W3Si2,0.0,Indirect,0.0,127.0,-9.957664411
10987,Si2Y1,YSi2,0.0,Indirect,0.0,74.0,-6.3109504316667
10988,Si3Tc5,Tc5Si3,0.0,Indirect,0.0,140.0,-8.890966440625
10989,Si3Y5,Y5Si3,0.0,Indirect,0.0,193.0,-6.7722457975
10990,Si3Zr5,Zr5Si3,0.0,Indirect,0.0,193.0,-8.176093178125
10991,Si4Ti5,Ti5Si4,0.0,Indirect,0.0,92.0,-7.5012809052778
10992,Sn1Ti2,SnTi2,0.0,Indirect,0.0,194.0,-6.7825639283333
10993,Sn2Ta1,Sn2Ta,0.0,Indirect,0.0,70.0,-6.5267427675
10994,Sn3Sr1,SrSn3,0.0,Indirect,0.0,166.0,-3.683624096875
10995,Sr1Tl2,SrTl2,0.0,Indirect,0.0,194.0,-2.37323264
10996,Ta1Tc1,TaTc,0.0,Indirect,0.0,221.0,-11.61211006
10997,Ta1Te2,TaTe2,0.0,Indirect,0.0,12.0,-6.3982455611111
10998,Ta1V2,TaV2,0.0,Indirect,0.0,227.0,-10.02333628
10999,Ta6Zn7,Ta6Zn7,0.0,Indirect,0.0,166.0,-6.15413563
11000,Te1Zr1,ZrTe,0.0,Indirect,0.0,62.0,-6.71270983
11001,Te1Zr1,ZrTe,0.0,Indirect,0.0,187.0,-6.74273969
11002,Ti1Zn2,TiZn2,0.0,Indirect,0.0,194.0,-3.5142994075
11003,Ti2Zn1,Ti2Zn,0.0,Indirect,0.0,139.0,-5.6992075633333
11004,W5Zr3,W5Zr3,0.0,Indirect,0.0,140.0,-10.8785638
11005,Y1Zn1,YZn,0.0,Indirect,0.0,221.0,-4.14481079
11006,Y1Zn5,YZn5,0.0,Indirect,0.0,191.0,-2.2913023816667
11007,Y3Zn11,Y3Zn11,0.0,Indirect,0.0,71.0,-2.5875476207143
11008,Ag1Hf2,AgHf2,0.0,Indirect,0.0,139.0,-7.66158812
11009,Ag1In1,AgIn,0.0,Indirect,0.0,221.0,-2.612076375
11010,Ag1La1,AgLa,0.0,Indirect,0.0,123.0,-4.07738571
11011,Al11Mn4,Al11Mn4,0.0,Indirect,0.0,2.0,-5.411974928
11012,Al12Mn1,MnAl12,0.0,Indirect,0.0,204.0,-4.2362953415385
11013,Al1Cu3,AlCu3,0.0,Indirect,0.0,25.0,-3.92824701375
11014,Al1Ni1,AlNi,0.0,Indirect,0.0,221.0,-5.272988055
11015,Al3Ru2,Ru2Al3,0.0,Indirect,0.0,139.0,-6.613607124
11016,Al6Fe1,FeAl6,0.0,Indirect,0.0,36.0,-4.5786254985714
11017,Al6Fe1,FeAl6,0.0,Indirect,0.0,63.0,-4.5786360328571
11018,As1Ni1,NiAs,0.0,Indirect,0.0,194.0,-5.364265755
11019,As2Ni1,NiAs2,0.0,Indirect,0.0,61.0,-5.1918019225
11020,As4Cu3,Cu3As4,0.0,Indirect,0.0,71.0,-3.9842039414286
11021,Au1Ta3,AuTa3,0.0,Indirect,0.0,223.0,-9.75862381625
