,$Dp_b$,$F_b$,LUMO_character,$R_b$,$D_b$,$Nd_b$,$Ce_a$,LUMO_element,$Fi_b$,$(En)diff_{ab}$,$(En)diff_{cb}$,$o$,$y$
33,62.0,4,3,0.65,7.87,6,1.16,26,762.5,0.14000000000000012,1.6099999999999999,0.46428571428571436,0
291,139.0,3,2,0.87,6.97,0,1.35,34,603.4,0.5499999999999998,1.4499999999999997,0.4393939393939394,0
301,162.0,3,1,0.9,4.47,1,1.51,12,600.0,0.09000000000000008,1.3299999999999998,0.4545454545454546,1
211,57.8,5,2,0.54,2.7,0,0.67,16,577.5,0.3899999999999999,0.97,0.29347826086956524,0
61,208.0,3,4,0.98,7.01,0,1.72,60,533.1,0.18999999999999995,2.3,0.7000000000000001,0
102,100.0,4,3,0.64,4.54,2,1.113,22,658.8,0.61,1.9,0.4571428571428572,0
195,65.0,5,2,0.8,7.31,10,4.39,16,558.3,0.09999999999999987,0.8,0.43478260869565216,0
57,83.0,4,3,0.71,7.15,5,3.39,24,652.9,0.04999999999999982,1.78,0.5071428571428571,0
201,170.0,3,4,0.92,8.23,0,1.51,65,565.8,0.1100000000000001,1.3800000000000001,0.5,1
146,65.0,5,1,0.8,7.31,10,0.67,49,558.3,0.21999999999999997,1.66,0.5714285714285715,0
66,43.0,6,2,0.76,6.69,10,1.51,51,834.0,0.7399999999999998,1.3900000000000001,0.5428571428571429,0
216,156.0,3,2,0.9,8.8,0,1.51,16,581.0,0.08000000000000007,1.35,0.4891304347826087,1
20,100.0,4,3,0.67,4.54,2,1.84,22,658.8,0.54,1.9,0.47857142857142865,0
