iter	Passed	Remaining
855	1516	255
856	1518	253
857	1520	251
858	1521	249
859	1523	248
860	1525	246
861	1527	244
862	1528	242
863	1529	240
864	1531	239
865	1533	237
866	1535	235
867	1537	233
868	1538	231
869	1540	230
870	1542	228
871	1544	226
872	1546	224
873	1547	223
874	1549	221
875	1551	219
876	1552	217
877	1554	215
878	1556	214
879	1558	212
880	1559	210
881	1561	208
882	1563	207
883	1565	205
884	1567	203
885	1569	201
886	1570	200
887	1572	198
888	1574	196
889	1576	194
890	1578	193
891	1580	191
892	1582	189
893	1584	187
894	1585	186
895	1587	184
896	1589	182
897	1591	180
898	1593	179
899	1594	177
900	1596	175
901	1597	173
902	1599	171
903	1601	170
904	1602	168
905	1604	166
906	1606	164
907	1608	162
908	1609	161
909	1611	159
910	1613	157
911	1615	155
912	1616	154
913	1619	152
914	1621	150
915	1623	148
916	1625	147
917	1627	145
918	1629	143
919	1631	141
920	1633	140
921	1635	138
922	1636	136
923	1638	134
924	1640	133
925	1642	131
926	1643	129
927	1645	127
928	1647	125
929	1649	124
930	1651	122
931	1652	120
932	1654	118
933	1656	117
934	1658	115
935	1660	113
936	1662	111
937	1664	110
938	1665	108
939	1667	106
940	1669	104
941	1671	102
942	1673	101
943	1675	99
944	1676	97
945	1678	95
946	1680	94
947	1682	92
948	1683	90
949	1685	88
950	1687	86
951	1689	85
952	1691	83
953	1693	81
954	1694	79
955	1696	78
956	1698	76
957	1700	74
958	1702	72
959	1704	71
960	1706	69
961	1707	67
962	1709	65
963	1711	63
964	1713	62
965	1715	60
966	1718	58
967	1721	56
968	1723	55
969	1726	53
970	1728	51
971	1730	49
972	1731	48
973	1733	46
974	1735	44
975	1737	42
976	1738	40
977	1740	39
978	1742	37
979	1743	35
980	1745	33
981	1747	32
982	1748	30
983	1750	28
984	1752	26
985	1754	24
986	1756	23
987	1757	21
988	1759	19
989	1761	17
990	1763	16
991	1764	14
992	1766	12
993	1768	10
994	1770	8
995	1772	7
996	1774	5
997	1775	3
998	1777	1
999	1779	0
